timestamp,alpha_power,beta_power,theta_power,gamma_power
2024-01-15 10:00:00,0.7170782361961483,0.36636637829729474,0.18354869289326342,0.11985125925437833
2024-01-15 10:00:01,0.7451310043442699,0.3711700675206082,0.16003552494387613,0.11272754233350987
2024-01-15 10:00:02,0.6813090952864201,0.38395141721813425,0.18823652430836796,0.10855041452658172
2024-01-15 10:00:03,0.716540486711931,0.4010350592398664,0.1936948660304045,0.11373013385811107
2024-01-15 10:00:04,0.7061587118161265,0.36341593034235153,0.17529581677601253,0.1198339599637548
2024-01-15 10:00:05,0.7272822962363463,0.40994863137350857,0.1847592392604703,0.12582039028530023
2024-01-15 10:00:06,0.753381982804576,0.42086270737469683,0.19365128242140636,0.1224862414376873
2024-01-15 10:00:07,0.7318383120158748,0.3747832229921017,0.1940695664516838,0.12429217524802112
2024-01-15 10:00:08,0.7454518641479846,0.3829148047236105,0.1824295409067511,0.12811263275182505
2024-01-15 10:00:09,0.7843750798185678,0.35913273677009677,0.19978299976858588,0.11725202161588211
2024-01-15 10:00:10,0.771864054688221,0.3403649005262161,0.2125494348226497,0.11546650261648965
2024-01-15 10:00:11,0.7989636872368207,0.33896392353322913,0.1964233001240352,0.1327589895819766
2024-01-15 10:00:12,0.7657197983626758,0.33587716579592736,0.2020084876544996,0.12739975909778764
2024-01-15 10:00:13,0.7644081785848595,0.3075221530862866,0.20730558857856585,0.11938901738763363
2024-01-15 10:00:14,0.7759843115550868,0.32154964571719313,0.21238167495341712,0.12161685693183255
2024-01-15 10:00:15,0.7529176086039864,0.2898361415904342,0.19522975441274207,0.1211792975692278
2024-01-15 10:00:16,0.7569360251995141,0.28402337166145425,0.21787942497890153,0.11769357708023673
2024-01-15 10:00:17,0.743782817132794,0.2642043432305495,0.2259348866797369,0.11771939511792484
2024-01-15 10:00:18,0.7516606793565153,0.25938145674175905,0.20735973092493848,0.11755548667057698
2024-01-15 10:00:19,0.7537064231070975,0.2495306514758283,0.21270262056013606,0.12010594434337162
2024-01-15 10:00:20,0.7566251316117807,0.2353572439415794,0.19549929769600638,0.12291191211801528
2024-01-15 10:00:21,0.7307171704086348,0.23305996744430008,0.20742179609130024,0.12255890602516228
2024-01-15 10:00:22,0.7374981766398967,0.20333192833124897,0.2310445334601411,0.11028253775080762
2024-01-15 10:00:23,0.7584895742826588,0.20890315822058664,0.2163015253937943,0.12258888178865968
2024-01-15 10:00:24,0.748290139970021,0.1931488929535161,0.19093534109561255,0.11799788851188758
2024-01-15 10:00:25,0.7273213910363525,0.15422669043739995,0.20646457436452617,0.11408683705473702
2024-01-15 10:00:26,0.7760531842785062,0.13486737725659476,0.2135368021298339,0.11322951782875613
2024-01-15 10:00:27,0.7432806548739769,0.1477911900972697,0.2021517935755695,0.10574244053942145
